cpf|nome|endereco|dia|mes|ano|telefone|cidade
63545454647|Chico Rossi|Av. Campina Grande|22|09|1980|67454675678|Cuiaba
47544415830|Chico Azevedo|Av. Movimentada|01|05|1983|65454675678|Sao Luis
52177002460|Tiana Hilder|Avenida das Torres|24|02|1980|86454675678|Recife
68720369743|Bastos Rossi|Avenida das Torres|19|10|1954|22454675678|Porto Alegre
86868686700|Gustavo Zani|Rua Tres|23|03|1988|13454675678|Teresina
63116614466|Nair Aragao|Av. Movimentada|01|03|1970|73454675678|Sao Luis
21352196816|Chico Frade|Rua Numero Um|24|08|1976|15454675678|Londrina
43466528674|Franco Zani|Avenida das Torres|11|05|1956|71454675678|Cuiaba
99032897233|Zenaide Elgam|Avenida Sete|10|09|1956|21454675678|Rio de Janeiro
76848218227|Jose Santos|Avenida Sete|10|07|1980|65454675678|Rio de Janeiro
17745305039|Zenaide Del Nero|Rua Joao Santos|17|05|1998|65454675678|Porto Alegre
94847576567|Maria Jaca|R. Onze Mil|11|03|1988|15454675678|Cuiaba
71058688480|Zenaide Avelar|A. Da Cidade|10|09|1970|15454675678|Florianopolis
47141013075|Zenaide Aragao|A. Da Cidade|07|09|1980|67454675678|Rio de Janeiro
75747755595|Gustavo Jaca|Rua Numero Um|18|10|1980|15454675678|Manaus
40630226091|Paulo Frade|Rua Numero Um|10|02|1956|21454675678|Curitiba
52815755890|Nair Inacio|R. Numero Vinte|19|10|1948|22454675678|Sao Paulo
92782400959|Jose Santos|Avenida Sete|24|12|1976|72454675678|Aracaju
86868768768|Chico Frade|Rua Joao Santos|10|05|1983|21454675678|Curitiba
77834200879|Maria Souza|Rua Tres|11|09|1988|55454675678|Sao Luis
42606908171|Franco Rossi|R. Onze Mil|19|06|1998|23454675678|Curitiba
11260140288|Bastos Avelar|Avenida Sete|14|07|1970|23454675678|Aracaju
77788888887|Jose Frade|Rua Sem Carros|10|08|1998|71454675678|Porto Alegre
06315001548|Maria Zani|Rua Sem Carros|01|06|1983|72454675678|Londrina
11958411590|Ana Santos|Rua Recife|26|07|1976|13454675678|Sao Paulo
86868768768|Franco Del Nero|Rua Joao Santos|09|09|1980|23454675678|Sao Luis
39814111538|Zenaide Frade|Rua Joao Santos|10|02|1956|73454675678|Recife
91812886110|Zenaide Frade|Avenida Sete|19|04|1998|72454675678|Rio de Janeiro
86868768768|Ana Inacio|Av. Movimentada|14|05|1976|85454675678|Sao Paulo
03143313609|Jose Azevedo|Avenida das Torres|18|08|1976|15454675678|Londrina
49642536862|Nair Jaca|Rua Recife|07|03|1954|65454675678|Sao Paulo
27621106298|Maria Gomes|R. Onze Mil|10|05|1970|65454675678|Campinas
33504788755|Tiana Souza|Av. Campina Grande|17|07|1980|15454675678|Curitiba
19083358828|Bastos Silva|R. Numero Vinte|07|11|1956|86454675678|Manaus
76084932169|Chico Aragao|Rua Recife|09|10|1954|21454675678|Aracaju
10355831864|Nair Jaca|Rua Tres|10|06|1983|67454675678|Aracaju
87865204230|Maria Hilder|Avenida das Torres|11|04|1983|86454675678|Sao Luis
63545454647|Chico Elgam|Rua Sem Carros|19|08|1970|55454675678|Manaus
28766054303|Maria Azevedo|R. Onze Mil|07|07|1976|22454675678|Sao Paulo
51505644275|Bastos Hilder|R. Numero Vinte|10|01|1970|13454675678|Campinas
71525790080|Maria Rossi|Avenida Numero Dois|18|05|1983|72454675678|Londrina
02406065235|Tiana Frade|Av. Campina Grande|05|03|1998|13454675678|Sao Paulo
22204153508|Maria Inacio|R. Numero Vinte|10|09|1948|15454675678|Aracaju
63545454647|Ana Souza|Rua Carlos Silva|17|06|1983|55454675678|Sao Paulo
56945787249|Jose Avelar|A. Da Cidade|05|04|1976|85454675678|Cuiaba
12302023315|Chico Avelar|R. Numero Vinte|18|04|1988|86454675678|Londrina
68617123532|Luis Inacio|Avenida das Torres|10|09|1956|85454675678|Sao Paulo
45978941289|Tiana Silva|Avenida Numero Dois|07|12|1956|67454675678|Recife
58331782828|Tiana Azevedo|Av. Campina Grande|26|05|1954|73454675678|Manaus
86868686700|Nair Avelar|Rua Tres|18|07|1954|65454675678|Aracaju
86868686700|Paulo Silva|Avenida Numero Dois|22|05|1998|15454675678|Florianopolis
57165105662|Nair Frade|R. Numero Vinte|10|10|1988|11454675678|Aracaju
63336537215|Zenaide Aragao|Av. Campina Grande|07|12|1998|72454675678|Rio de Janeiro
38702543940|Tiana Gomes|Rua Numero Um|26|11|1954|67454675678|Londrina
63545454647|Luis Del Nero|Rua Recife|23|01|1983|22454675678|Teresina
86868686700|Jose Hilder|Avenida Sete|09|03|1988|71454675678|Curitiba
16607561110|Gustavo Avelar|Rua Carlos Silva|23|10|1988|71454675678|Florianopolis
65221687402|Paulo Souza|R. Numero Vinte|10|01|1998|22454675678|Sao Luis
36747945433|Chico Rossi|R. Onze Mil|11|08|1956|67454675678|Rio de Janeiro
77788888887|Zenaide Avelar|Rua Joao Santos|19|03|1970|85454675678|Recife
13378646330|Maria Hilder|R. Numero Vinte|17|07|1954|86454675678|Manaus
94847576567|Tiana Jaca|Avenida Sete|23|01|1956|11454675678|Aracaju
88788295958|Zenaide Rossi|Av. Movimentada|07|08|1980|22454675678|Teresina
94847576567|Jose Silva|Av. Campina Grande|11|09|1998|11454675678|Recife
54048894625|Jose Zani|Rua Joao Santos|10|11|1983|85454675678|Cuiaba
58290276583|Jose Frade|R. Numero Vinte|09|05|1948|67454675678|Porto Alegre
52859556370|Paulo Gomes|Rua Numero Um|23|04|1970|11454675678|Aracaju
42411156596|Maria Elgam|R. Numero Vinte|11|03|1948|71454675678|Londrina
63486769782|Maria Frade|Avenida Numero Dois|24|03|1980|21454675678|Sao Luis
63545454647|Tiana Inacio|Rua Tres|01|12|1954|71454675678|Manaus
58348948520|Franco Inacio|Rua Numero Um|26|06|1980|65454675678|Recife
37568188965|Maria Gomes|R. Numero Vinte|24|07|1970|65454675678|Campinas
81058963708|Luis Hilder|Avenida Numero Dois|19|12|1983|21454675678|Recife
84446189506|Maria Santos|Avenida Sete|24|03|1956|13454675678|Teresina
65220996401|Paulo Rossi|R. Onze Mil|18|12|1998|85454675678|Sao Luis
25439740597|Franco Frade|Av. Campina Grande|19|03|1970|55454675678|Londrina
63545454647|Zenaide Santos|R. Onze Mil|11|08|1970|11454675678|Manaus
65575743292|Zenaide Del Nero|Rua Numero Um|14|10|1983|13454675678|Florianopolis
94072191272|Franco Elgam|Avenida das Torres|17|09|1954|65454675678|Londrina
47367211030|Nair Jaca|R. Numero Vinte|22|02|1988|73454675678|Aracaju
77788888887|Bastos Souza|Avenida Sete|10|05|1970|21454675678|Teresina
57567048094|Zenaide Jaca|Av. Campina Grande|07|01|1998|21454675678|Teresina
48235513706|Nair Avelar|Rua Joao Santos|19|07|1998|23454675678|Teresina
14703722585|Paulo Inacio|Rua Joao Santos|14|02|1970|13454675678|Rio de Janeiro
94847576567|Franco Gomes|Avenida Sete|01|12|1998|85454675678|Sao Paulo
79130489997|Jose Elgam|Rua Numero Um|23|06|1970|55454675678|Londrina
00214449947|Chico Santos|Avenida das Torres|14|07|1948|13454675678|Manaus
86868686700|Ana Del Nero|Av. Movimentada|19|12|1988|15454675678|Aracaju
31171745753|Chico Gomes|Avenida Numero Dois|11|01|1988|22454675678|Recife
56250622772|Gustavo Zani|Rua Joao Santos|18|05|1956|11454675678|Recife
92197022075|Luis Gomes|Rua Joao Santos|18|03|1983|21454675678|Londrina
69970204106|Gustavo Avelar|Avenida Sete|10|10|1956|15454675678|Londrina
17179647292|Nair Hilder|Av. Movimentada|22|08|1983|65454675678|Porto Alegre
53531239210|Ana Elgam|A. Da Cidade|11|07|1980|13454675678|Florianopolis
94847576567|Ana Frade|Rua Numero Um|26|11|1970|85454675678|Porto Alegre
18339003674|Ana Zani|R. Numero Vinte|17|04|1988|85454675678|Porto Alegre
53165644640|Gustavo Santos|R. Numero Vinte|11|05|1988|71454675678|Porto Alegre
63545454647|Bastos Hilder|Rua Sem Carros|19|07|1988|67454675678|Campinas
87773014639|Nair Elgam|Rua Sem Carros|14|06|1998|72454675678|Campinas
77788888887|Zenaide Gomes|Av. Movimentada|24|06|1948|11454675678|Sao Luis
14191731033|Nair Elgam|Avenida Sete|07|03|1988|86454675678|Florianopolis
86868768768|Gustavo Del Nero|Avenida das Torres|10|10|1998|22454675678|Sao Luis
75876621706|Ana Azevedo|R. Onze Mil|26|11|1954|86454675678|Florianopolis
22630864715|Chico Frade|Avenida Numero Dois|23|11|1980|23454675678|Campinas
88779317790|Chico Silva|R. Onze Mil|01|03|1976|67454675678|Rio de Janeiro
29608048800|Luis Gomes|Av. Campina Grande|23|10|1998|23454675678|Manaus
56839864278|Bastos Avelar|A. Da Cidade|07|10|1988|67454675678|Aracaju
84388973637|Franco Rossi|Avenida das Torres|10|09|1980|86454675678|Curitiba
92072241600|Franco Jaca|Rua Numero Um|23|06|1980|86454675678|Manaus
67559871666|Franco Del Nero|Rua Numero Um|05|04|1983|65454675678|Recife
55225753361|Bastos Hilder|Av. Movimentada|23|06|1976|23454675678|Sao Luis
07625412377|Luis Souza|R. Numero Vinte|10|08|1970|73454675678|Sao Paulo
88058755540|Ana Inacio|R. Onze Mil|19|01|1998|13454675678|Teresina
47494808000|Ana Avelar|Rua Joao Santos|19|03|1956|73454675678|Porto Alegre
51675844429|Bastos Souza|Avenida das Torres|11|01|1980|22454675678|Rio de Janeiro
55587113965|Zenaide Elgam|R. Onze Mil|10|06|1956|85454675678|Florianopolis
59398602229|Ana Souza|R. Onze Mil|19|04|1980|71454675678|Manaus
37172095316|Gustavo Frade|Rua Sem Carros|10|04|1956|23454675678|Porto Alegre
29259004292|Zenaide Hilder|R. Onze Mil|22|03|1988|67454675678|Aracaju
10713587822|Chico Aragao|Avenida Numero Dois|01|04|1998|67454675678|Porto Alegre
77788888887|Zenaide Azevedo|Avenida das Torres|10|04|1948|15454675678|Campinas
86868686700|Paulo Aragao|Avenida Sete|18|04|1983|55454675678|Rio de Janeiro
53531044125|Gustavo Hilder|Av. Movimentada|11|03|1998|21454675678|Cuiaba
70069279357|Zenaide Hilder|Rua Recife|23|02|1956|15454675678|Londrina
47784110138|Paulo Gomes|Rua Sem Carros|26|03|1970|55454675678|Curitiba
58095075302|Franco Del Nero|Avenida das Torres|26|09|1988|67454675678|Teresina
86868686700|Jose Avelar|Rua Tres|22|11|1976|22454675678|Manaus
80567874028|Maria Elgam|Avenida Sete|07|12|1976|65454675678|Teresina
94847576567|Bastos Inacio|Rua Joao Santos|10|03|1980|71454675678|Aracaju
82159361801|Maria Azevedo|Rua Sem Carros|11|07|1988|71454675678|Londrina
63545454647|Ana Inacio|Rua Numero Um|19|10|1970|73454675678|Recife
02239713240|Bastos Santos|Rua Joao Santos|14|07|1976|11454675678|Florianopolis
56754971029|Gustavo Avelar|Rua Tres|07|01|1998|86454675678|Campinas
98241121547|Ana Del Nero|R. Onze Mil|10|06|1998|72454675678|Florianopolis
68486126509|Franco Santos|Rua Joao Santos|18|12|1980|13454675678|Londrina
94847576567|Ana Hilder|Rua Numero Um|11|04|1983|15454675678|Florianopolis
86868686700|Jose Del Nero|A. Da Cidade|11|01|1983|55454675678|Cuiaba
73314125151|Zenaide Souza|Rua Tres|14|03|1998|67454675678|Porto Alegre
86868686700|Gustavo Avelar|Av. Campina Grande|09|06|1983|71454675678|Sao Paulo
22942855495|Zenaide Santos|Avenida Numero Dois|26|12|1954|55454675678|Aracaju
54141688576|Zenaide Silva|Rua Carlos Silva|01|07|1988|71454675678|Cuiaba
01373233362|Luis Avelar|Av. Movimentada|19|03|1970|67454675678|Recife
61986903508|Ana Elgam|A. Da Cidade|05|03|1970|22454675678|Sao Luis
52524307999|Tiana Santos|Avenida Numero Dois|05|05|1988|23454675678|Campinas
58245763195|Franco Avelar|Rua Joao Santos|05|06|1980|71454675678|Manaus
93183294311|Paulo Aragao|Rua Recife|10|02|1983|13454675678|Sao Paulo
63545454647|Chico Silva|R. Onze Mil|19|02|1976|22454675678|Recife
05491344923|Bastos Silva|Avenida das Torres|09|02|1983|22454675678|Manaus
35727473250|Tiana Elgam|Rua Tres|14|06|1976|85454675678|Sao Luis
81926560477|Jose Jaca|Av. Campina Grande|18|07|1980|15454675678|Sao Paulo
46491040844|Paulo Aragao|Avenida Numero Dois|24|01|1980|13454675678|Manaus
23243056152|Chico Rossi|Rua Numero Um|23|01|1980|71454675678|Porto Alegre
40778467651|Nair Souza|Avenida Sete|10|06|1948|86454675678|Recife
08741563433|Jose Inacio|Rua Carlos Silva|07|12|1980|85454675678|Aracaju
52824966904|Ana Hilder|R. Onze Mil|17|11|1956|85454675678|Manaus
25574275864|Nair Elgam|Avenida Sete|05|12|1980|73454675678|Londrina
63545454647|Ana Avelar|Rua Recife|14|06|1948|22454675678|Sao Luis
40013391534|Ana Jaca|A. Da Cidade|23|09|1980|22454675678|Cuiaba
30575251131|Paulo Souza|Rua Carlos Silva|01|03|1956|73454675678|Porto Alegre
61937833267|Tiana Gomes|R. Onze Mil|26|11|1998|13454675678|Sao Luis
73820342591|Ana Inacio|Avenida Sete|24|05|1980|21454675678|Sao Paulo
60364402199|Jose Azevedo|Avenida Numero Dois|07|04|1970|67454675678|Rio de Janeiro
33847245856|Ana Del Nero|Avenida Numero Dois|14|12|1954|22454675678|Manaus
33394758571|Chico Inacio|Rua Carlos Silva|18|10|1970|22454675678|Cuiaba
63545454647|Gustavo Del Nero|Rua Recife|22|01|1954|65454675678|Curitiba
81705238696|Tiana Rossi|Avenida Sete|17|05|1956|85454675678|Campinas
06936884598|Jose Souza|R. Onze Mil|07|08|1954|67454675678|Aracaju
69526359550|Nair Hilder|Avenida Sete|19|09|1998|67454675678|Sao Luis
70537815694|Nair Avelar|Avenida Numero Dois|05|02|1970|72454675678|Londrina
29048975778|Tiana Silva|Av. Movimentada|10|05|1998|72454675678|Sao Luis
76138932510|Zenaide Zani|Avenida Sete|01|07|1980|73454675678|Sao Luis
55882830150|Nair Inacio|Avenida Sete|14|03|1998|72454675678|Teresina
86868686700|Luis Aragao|Rua Joao Santos|14|12|1976|67454675678|Cuiaba
23761657170|Tiana Jaca|Av. Campina Grande|24|08|1948|71454675678|Sao Luis
94847576567|Luis Hilder|Rua Carlos Silva|18|07|1954|72454675678|Teresina
86868768768|Jose Frade|A. Da Cidade|22|11|1983|85454675678|Sao Paulo
64942766958|Jose Frade|Av. Movimentada|11|04|1956|73454675678|Sao Luis
93943118070|Luis Gomes|Av. Campina Grande|18|08|1970|21454675678|Sao Luis
86868768768|Paulo Avelar|Rua Carlos Silva|11|09|1983|85454675678|Sao Luis
04317370611|Luis Inacio|Rua Joao Santos|07|11|1998|85454675678|Aracaju
35534734108|Paulo Frade|Rua Carlos Silva|05|12|1976|55454675678|Rio de Janeiro
27342913553|Ana Santos|Rua Numero Um|11|04|1988|55454675678|Aracaju
36509930820|Luis Aragao|Avenida Numero Dois|07|08|1998|23454675678|Sao Paulo
57663037340|Ana Aragao|A. Da Cidade|11|12|1948|85454675678|Manaus
75741972292|Maria Azevedo|R. Onze Mil|19|05|1954|55454675678|Campinas
69932818135|Nair Hilder|Rua Recife|05|07|1948|15454675678|Sao Paulo
09001999620|Franco Avelar|A. Da Cidade|26|01|1983|85454675678|Sao Luis
69905288422|Gustavo Del Nero|Rua Carlos Silva|10|09|1956|21454675678|Campinas
96546235013|Ana Azevedo|Avenida Numero Dois|18|10|1976|23454675678|Rio de Janeiro
76600678267|Jose Avelar|Av. Campina Grande|05|01|1980|67454675678|Cuiaba
85812928959|Luis Del Nero|R. Numero Vinte|09|08|1948|55454675678|Aracaju
85582978194|Chico Elgam|R. Numero Vinte|11|08|1983|22454675678|Florianopolis
76978033723|Jose Jaca|Rua Numero Um|10|04|1998|23454675678|Rio de Janeiro
41664980539|Maria Avelar|R. Numero Vinte|22|06|1948|85454675678|Teresina
08343651707|Bastos Gomes|Avenida das Torres|23|08|1980|21454675678|Londrina
65270524210|Bastos Jaca|Rua Carlos Silva|10|03|1980|11454675678|Cuiaba
30828448558|Ana Del Nero|Avenida Sete|05|01|1954|67454675678|Rio de Janeiro
88345592740|Luis Jaca|Rua Numero Um|01|06|1998|73454675678|Manaus
63545454647|Nair Gomes|Rua Tres|17|05|1998|23454675678|Sao Luis
04554951812|Chico Gomes|Av. Campina Grande|22|02|1970|86454675678|Campinas
03444553277|Paulo Jaca|R. Onze Mil|10|06|1983|22454675678|Florianopolis
34948624276|Jose Zani|R. Numero Vinte|19|11|1956|86454675678|Sao Paulo
94847576567|Luis Avelar|R. Onze Mil|05|12|1948|73454675678|Sao Luis
84960539208|Ana Jaca|Avenida das Torres|19|11|1956|73454675678|Teresina
56543157577|Tiana Aragao|A. Da Cidade|26|07|1988|23454675678|Porto Alegre
39864366696|Luis Azevedo|Avenida Sete|26|12|1976|15454675678|Curitiba
08109223125|Bastos Aragao|Rua Recife|07|10|1954|23454675678|Porto Alegre
17374853548|Zenaide Rossi|Rua Carlos Silva|07|12|1954|23454675678|Teresina
33882236450|Jose Frade|Rua Tres|07|04|1983|71454675678|Teresina
86868768768|Bastos Silva|Rua Sem Carros|22|09|1998|71454675678|Cuiaba
42064940103|Bastos Hilder|Rua Recife|01|05|1983|86454675678|Campinas
79786920783|Ana Silva|R. Onze Mil|14|03|1998|11454675678|Rio de Janeiro
31108518060|Paulo Elgam|Rua Numero Um|07|04|1970|13454675678|Curitiba
02205721518|Ana Azevedo|Rua Tres|11|06|1956|73454675678|Aracaju
56066087070|Tiana Aragao|Avenida Sete|01|06|1988|73454675678|Curitiba
94847576567|Bastos Souza|Av. Movimentada|18|06|1954|11454675678|Recife
09454651145|Paulo Frade|Rua Recife|01|08|1956|11454675678|Rio de Janeiro
99167626602|Nair Souza|Rua Carlos Silva|10|10|1954|65454675678|Cuiaba
83951845570|Jose Inacio|Rua Numero Um|14|09|1988|15454675678|Rio de Janeiro
75520225664|Chico Del Nero|Rua Sem Carros|07|05|1983|65454675678|Curitiba
65318812678|Jose Rossi|Av. Movimentada|07|05|1956|22454675678|Cuiaba
90715259709|Chico Souza|Rua Joao Santos|05|07|1976|85454675678|Porto Alegre
54009188324|Bastos Inacio|Rua Numero Um|05|10|1948|23454675678|Porto Alegre
21275666370|Luis Hilder|Avenida Sete|26|01|1976|15454675678|Porto Alegre
77788888887|Jose Silva|Rua Carlos Silva|01|10|1998|11454675678|Curitiba
44857901773|Chico Gomes|A. Da Cidade|18|07|1998|22454675678|Aracaju
85697328214|Chico Aragao|R. Numero Vinte|10|12|1980|71454675678|Teresina
63545454647|Ana Jaca|A. Da Cidade|22|12|1998|15454675678|Recife
31752635779|Franco Del Nero|Rua Sem Carros|07|08|1970|65454675678|Manaus
27963755109|Luis Frade|Av. Movimentada|17|08|1988|55454675678|Manaus
18261086704|Gustavo Elgam|Rua Numero Um|11|11|1983|21454675678|Curitiba
93348238013|Zenaide Aragao|Avenida Sete|18|04|1983|72454675678|Londrina
50702934275|Zenaide Zani|Rua Tres|19|12|1954|65454675678|Sao Luis
63545454647|Nair Souza|A. Da Cidade|19|12|1983|13454675678|Florianopolis
91491263857|Tiana Jaca|Av. Campina Grande|23|03|1954|86454675678|Florianopolis
86375366623|Nair Gomes|Rua Numero Um|23|10|1954|86454675678|Curitiba
82829212460|Luis Santos|A. Da Cidade|23|09|1998|23454675678|Londrina
86868686700|Gustavo Silva|A. Da Cidade|10|05|1998|23454675678|Manaus
63545454647|Chico Hilder|Avenida das Torres|05|02|1983|23454675678|Manaus
99993278858|Tiana Hilder|Rua Sem Carros|07|03|1954|13454675678|Florianopolis
39359307556|Franco Frade|Rua Recife|10|05|1988|73454675678|Recife
95351701987|Zenaide Santos|R. Numero Vinte|18|06|1988|11454675678|Aracaju
51169627765|Chico Inacio|Rua Recife|23|09|1956|11454675678|Porto Alegre
29838543454|Nair Hilder|Avenida Numero Dois|01|04|1956|13454675678|Sao Luis
10648403963|Gustavo Inacio|Rua Joao Santos|14|10|1998|23454675678|Teresina
40166226033|Luis Del Nero|Rua Tres|22|03|1980|73454675678|Cuiaba
29110413057|Maria Zani|A. Da Cidade|17|10|1983|85454675678|Sao Luis
03242087666|Jose Santos|Rua Numero Um|01|04|1998|13454675678|Aracaju
22555803068|Luis Souza|Avenida Sete|18|08|1948|11454675678|Teresina
86868686700|Luis Silva|Rua Carlos Silva|14|12|1988|86454675678|Cuiaba
22051250014|Ana Silva|Rua Numero Um|01|07|1988|22454675678|Porto Alegre
30275827399|Tiana Frade|Av. Campina Grande|07|04|1970|85454675678|Curitiba
89502459571|Zenaide Rossi|R. Numero Vinte|05|05|1948|22454675678|Recife
74404301154|Jose Gomes|Rua Numero Um|14|04|1954|55454675678|Recife
93359473000|Bastos Rossi|A. Da Cidade|05|10|1980|13454675678|Manaus
90804742405|Franco Rossi|R. Onze Mil|24|06|1998|86454675678|Teresina
77788888887|Franco Elgam|Rua Joao Santos|24|02|1956|22454675678|Florianopolis
70088085007|Luis Avelar|Rua Recife|19|05|1948|22454675678|Curitiba
99406404710|Zenaide Jaca|Avenida Numero Dois|22|08|1954|86454675678|Sao Paulo
61507946015|Tiana Silva|Rua Tres|05|01|1980|71454675678|Campinas
43518687832|Nair Hilder|Rua Sem Carros|14|08|1983|67454675678|Teresina
92361749220|Zenaide Zani|Avenida Sete|18|08|1988|67454675678|Manaus
51824191472|Ana Gomes|Avenida das Torres|23|07|1998|67454675678|Recife
24054078257|Zenaide Zani|A. Da Cidade|26|10|1988|13454675678|Manaus
34588845640|Maria Aragao|Avenida Numero Dois|10|12|1956|23454675678|Sao Luis
82211940340|Paulo Santos|Rua Sem Carros|10|04|1988|72454675678|Curitiba
10977529339|Nair Frade|Rua Carlos Silva|10|08|1970|15454675678|Rio de Janeiro
87179754099|Bastos Santos|Avenida das Torres|10|04|1956|71454675678|Sao Luis
77788888887|Zenaide Zani|Rua Carlos Silva|26|08|1980|65454675678|Teresina
24784009523|Jose Avelar|Rua Carlos Silva|07|07|1954|72454675678|Manaus
73787278818|Jose Inacio|R. Numero Vinte|18|06|1970|23454675678|Aracaju
38110655726|Tiana Gomes|Rua Tres|10|09|1956|85454675678|Florianopolis
74355663221|Ana Avelar|Av. Movimentada|01|07|1976|22454675678|Recife
96024185758|Luis Avelar|Rua Sem Carros|22|03|1988|67454675678|Porto Alegre
02350410927|Paulo Inacio|Rua Tres|26|01|1980|15454675678|Campinas
07598922616|Ana Inacio|Rua Sem Carros|19|06|1988|21454675678|Sao Luis
97196467728|Paulo Zani|Rua Sem Carros|24|12|1954|22454675678|Aracaju
63545454647|Paulo Elgam|Rua Recife|07|02|1988|65454675678|Porto Alegre
94847576567|Gustavo Elgam|Av. Campina Grande|26|06|1983|85454675678|Recife
77788888887|Nair Silva|Avenida das Torres|10|06|1956|21454675678|Rio de Janeiro
86868768768|Maria Souza|Rua Sem Carros|19|04|1988|85454675678|Sao Paulo
07647686461|Zenaide Jaca|Rua Joao Santos|22|07|1956|21454675678|Rio de Janeiro
90292421834|Zenaide Inacio|Rua Joao Santos|19|04|1970|23454675678|Aracaju
99389852382|Tiana Gomes|Rua Joao Santos|19|03|1988|13454675678|Manaus
12792599570|Tiana Elgam|Rua Recife|10|02|1954|22454675678|Florianopolis
39036304385|Chico Hilder|R. Onze Mil|22|01|1988|13454675678|Sao Luis
94847576567|Chico Aragao|A. Da Cidade|07|02|1954|23454675678|Curitiba
22942943947|Chico Silva|Avenida Numero Dois|11|10|1948|72454675678|Recife
41938171489|Nair Del Nero|Avenida Sete|10|02|1976|13454675678|Teresina
81406580732|Paulo Inacio|Rua Numero Um|11|11|1970|22454675678|Sao Paulo
25216713719|Paulo Avelar|Rua Carlos Silva|10|10|1948|71454675678|Cuiaba
84471692860|Zenaide Frade|Avenida das Torres|19|08|1988|22454675678|Aracaju
86868686700|Bastos Souza|R. Onze Mil|05|01|1948|21454675678|Teresina
81712831100|Paulo Rossi|Rua Tres|18|04|1956|86454675678|Aracaju
16581641138|Bastos Elgam|R. Onze Mil|11|09|1948|72454675678|Londrina
84271327786|Maria Rossi|Rua Sem Carros|05|10|1956|71454675678|Rio de Janeiro
68663601964|Chico Jaca|Avenida Sete|26|04|1980|11454675678|Cuiaba
80603488765|Bastos Jaca|Avenida das Torres|14|12|1970|67454675678|Teresina
76750085296|Franco Gomes|Rua Sem Carros|10|06|1970|71454675678|Teresina
26639288443|Paulo Silva|R. Numero Vinte|14|08|1980|86454675678|Sao Luis
00105667595|Franco Silva|Avenida Numero Dois|10|03|1983|73454675678|Teresina
87266337526|Jose Frade|Rua Numero Um|22|10|1970|23454675678|Rio de Janeiro
45182862350|Zenaide Santos|Avenida das Torres|26|06|1956|72454675678|Curitiba
62863898060|Luis Gomes|Rua Joao Santos|17|12|1983|55454675678|Cuiaba
77788888887|Chico Hilder|R. Onze Mil|17|02|1956|72454675678|Curitiba
40800129504|Paulo Gomes|Avenida das Torres|26|08|1983|71454675678|Londrina
30962157406|Luis Elgam|Rua Carlos Silva|09|05|1948|73454675678|Manaus
35175716522|Nair Frade|Rua Sem Carros|26|03|1980|21454675678|Campinas
83235141359|Ana Souza|Rua Sem Carros|19|10|1983|55454675678|Porto Alegre
26032389146|Jose Santos|Av. Movimentada|17|01|1948|55454675678|Porto Alegre
15975576768|Ana Souza|Av. Movimentada|09|09|1988|86454675678|Porto Alegre
58486353076|Maria Aragao|Rua Sem Carros|10|07|1956|85454675678|Aracaju
86868768768|Franco Gomes|Rua Carlos Silva|26|02|1983|15454675678|Porto Alegre
64573340327|Gustavo Gomes|Avenida Numero Dois|17|01|1954|72454675678|Londrina
77788888887|Luis Elgam|Rua Joao Santos|24|03|1970|21454675678|Campinas
93820270760|Chico Elgam|Rua Joao Santos|19|07|1980|13454675678|Teresina
16623458018|Maria Rossi|Rua Sem Carros|26|02|1980|55454675678|Aracaju
87532897575|Maria Aragao|Avenida Numero Dois|10|03|1976|22454675678|Florianopolis
83412344834|Jose Gomes|Av. Movimentada|26|01|1970|21454675678|Porto Alegre
93270865031|Bastos Santos|R. Onze Mil|17|03|1970|21454675678|Campinas
41738321924|Luis Rossi|A. Da Cidade|19|07|1956|22454675678|Curitiba
20476491029|Gustavo Aragao|Av. Campina Grande|19|06|1998|22454675678|Sao Paulo
06118021201|Paulo Hilder|R. Numero Vinte|26|03|1988|71454675678|Cuiaba
40648367401|Nair Avelar|Rua Numero Um|09|01|1970|55454675678|Rio de Janeiro
16646041890|Zenaide Aragao|Rua Recife|17|10|1983|86454675678|Sao Paulo
63216067157|Luis Frade|Rua Recife|24|12|1980|73454675678|Curitiba
07540270829|Franco Del Nero|Rua Recife|17|01|1970|71454675678|Aracaju
62000968139|Gustavo Souza|Rua Recife|26|03|1976|85454675678|Aracaju
38309934041|Paulo Rossi|Rua Sem Carros|23|11|1988|73454675678|Teresina
77788888887|Jose Azevedo|R. Onze Mil|01|10|1998|65454675678|Recife
66232790162|Paulo Azevedo|Avenida das Torres|17|08|1988|21454675678|Florianopolis
63545454647|Bastos Zani|Rua Carlos Silva|10|12|1998|73454675678|Cuiaba
62755566256|Bastos Souza|Rua Numero Um|07|03|1998|86454675678|Sao Luis
12574046870|Bastos Zani|Rua Numero Um|24|01|1983|11454675678|Curitiba
54762756490|Zenaide Santos|Avenida Sete|24|07|1970|55454675678|Rio de Janeiro
56998444656|Tiana Azevedo|Av. Campina Grande|10|06|1998|71454675678|Teresina
86868768768|Zenaide Rossi|Rua Numero Um|17|07|1956|73454675678|Sao Paulo
00603349838|Franco Avelar|Rua Recife|14|06|1980|73454675678|Aracaju
76692592488|Tiana Avelar|Avenida Numero Dois|07|05|1976|73454675678|Teresina
63545454647|Jose Azevedo|Rua Numero Um|07|09|1983|85454675678|Curitiba
